trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.8, 'e': 0.22999999999999932}",30,18,16.442830009712186,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.8, 'e': 0.2249999999999993}",20,0,0.3923138930425696,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
156,False,"{'a': 0.8, 'e': 0.2199999999999993}",30,2,-22.325189748048317,"{0: 23, 1: 4, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.8, 'e': 0.2149999999999993}",25,9,16.30178820965092,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.8, 'e': 0.2099999999999993}",20,3,26.21411687488469,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.8, 'e': 0.2049999999999993}",25,17,4.006386799170606,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.8, 'e': 0.1999999999999993}",20,2,21.75108237419815,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.8, 'e': 0.19499999999999929}",20,13,0.7938911200378782,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.8, 'e': 0.18999999999999928}",25,11,-0.5454021534213012,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.8, 'e': 0.18499999999999928}",25,0,-13.913612808547176,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
164,False,"{'a': 0.8, 'e': 0.17999999999999927}",20,12,-12.440892569193277,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
165,False,"{'a': 0.8, 'e': 0.17499999999999927}",25,8,20.90431538934859,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.8, 'e': 0.16999999999999926}",20,12,-54.76819896441993,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 1}",1
167,False,"{'a': 0.8, 'e': 0.16499999999999926}",30,21,19.363925926070003,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8, 'e': 0.15999999999999925}",20,14,15.236600799485805,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.8, 'e': 0.15499999999999925}",25,8,15.89816671857143,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.8, 'e': 0.14999999999999925}",20,13,14.399180805910493,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.8, 'e': 0.14499999999999924}",20,9,21.585796527526288,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.8, 'e': 0.13999999999999924}",35,24,18.299747596719875,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.8, 'e': 0.13499999999999923}",20,12,9.335257510582284,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.8, 'e': 0.12999999999999923}",25,19,12.960354387691634,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.8, 'e': 0.12499999999999922}",20,10,4.5479529699155234,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.8, 'e': 0.11999999999999922}",20,6,25.57080685152648,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.8, 'e': 0.11499999999999921}",25,16,5.101287733403144,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.8, 'e': 0.10999999999999921}",25,10,-9.719106293639095,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.8, 'e': 0.1049999999999992}",20,16,8.045444181565003,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
