trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.8, 'e': 0.5249999999999996}",25,0,-39.03598843122592,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
96,False,"{'a': 0.8, 'e': 0.5199999999999996}",25,12,-56.55108985775619,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
97,False,"{'a': 0.8, 'e': 0.5149999999999996}",20,5,3.1001446162273845,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.8, 'e': 0.5099999999999996}",30,0,9.811769370827424,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
99,False,"{'a': 0.8, 'e': 0.5049999999999996}",25,16,9.948010633024547,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.8, 'e': 0.49999999999999956}",20,10,-43.88977923830299,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
101,False,"{'a': 0.8, 'e': 0.49499999999999955}",20,8,-98.81103117672247,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
102,False,"{'a': 0.8, 'e': 0.48999999999999955}",20,0,-96.86718356532576,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
103,False,"{'a': 0.8, 'e': 0.48499999999999954}",20,7,-31.602885830501457,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.8, 'e': 0.47999999999999954}",20,0,-60.206873030822194,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
105,False,"{'a': 0.8, 'e': 0.47499999999999953}",30,23,5.24334207278944,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.8, 'e': 0.46999999999999953}",30,18,0.48816808702451664,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.8, 'e': 0.4649999999999995}",25,14,-17.262818482543185,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.8, 'e': 0.4599999999999995}",25,16,12.363146102333156,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.8, 'e': 0.4549999999999995}",20,13,11.594551284231606,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.8, 'e': 0.4499999999999995}",35,13,-48.55307395349597,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 1}",1
111,False,"{'a': 0.8, 'e': 0.4449999999999995}",25,4,-15.6103877018175,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 0}",1
112,False,"{'a': 0.8, 'e': 0.4399999999999995}",30,5,-6.5545420321189445,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",1
